id_condicao,condicao_metereologica,tipo_pista,tracado_via,uso_solo,sentido_via
1,Céu Claro,Múltipla,Reta;Declive,Sim,Decrescente
2,Céu Claro,Simples,Reta,Não,Crescente
3,Sol,Dupla,Reta;Aclive,Sim,Crescente
4,Céu Claro,Dupla,Reta,Não,Crescente
5,Chuva,Simples,Curva;Declive,Não,Decrescente
6,Céu Claro,Dupla,Reta,Não,Decrescente
7,Nublado,Dupla,Reta,Sim,Crescente
8,Nublado,Simples,Curva,Não,Crescente
9,Céu Claro,Simples,Aclive;Curva,Não,Crescente
10,Garoa/Chuvisco,Dupla,Curva;Interseção de Vias,Sim,Decrescente
11,Chuva,Dupla,Curva,Não,Decrescente
12,Céu Claro,Simples,Curva,Sim,Decrescente
13,Céu Claro,Simples,Curva,Não,Crescente
14,Nublado,Simples,Reta;Declive,Não,Crescente
15,Sol,Dupla,Reta,Sim,Crescente
16,Garoa/Chuvisco,Dupla,Curva;Aclive,Não,Crescente
17,Céu Claro,Dupla,Declive;Reta,Sim,Crescente
18,Céu Claro,Simples,Reta,Sim,Crescente
19,Chuva,Simples,Retorno Regulamentado,Sim,Decrescente
20,Céu Claro,Múltipla,Reta;Aclive,Não,Decrescente
21,Céu Claro,Simples,Ponte;Declive;Curva,Não,Crescente
22,Sol,Múltipla,Reta,Sim,Crescente
23,Céu Claro,Dupla,Curva;Ponte,Não,Decrescente
24,Sol,Simples,Reta,Não,Crescente
25,Céu Claro,Simples,Reta,Não,Decrescente
26,Nublado,Dupla,Reta,Não,Decrescente
27,Céu Claro,Simples,Curva,Não,Decrescente
28,Céu Claro,Simples,Aclive,Não,Crescente
29,Chuva,Dupla,Curva;Declive,Não,Crescente
30,Nublado,Simples,Reta,Sim,Crescente
31,Chuva,Simples,Em Obras;Declive;Curva,Sim,Crescente
32,Chuva,Múltipla,Curva;Declive,Não,Crescente
33,Vento,Dupla,Reta,Não,Decrescente
34,Nublado,Dupla,Aclive;Reta,Sim,Crescente
35,Céu Claro,Simples,Declive;Reta,Não,Crescente
36,Céu Claro,Dupla,Declive,Sim,Decrescente
