id_tempo,data_inversa,dia_semana,horario,fase_dia
1,2025-01-01,quarta-feira,06:20:00,Pleno dia
2,2025-01-01,quarta-feira,07:50:00,Pleno dia
3,2025-01-01,quarta-feira,08:45:00,Pleno dia
4,2025-01-01,quarta-feira,11:00:00,Pleno dia
5,2025-01-01,quarta-feira,09:30:00,Pleno dia
6,2025-01-01,quarta-feira,10:40:00,Pleno dia
7,2025-01-01,quarta-feira,12:23:00,Pleno dia
8,2025-01-01,quarta-feira,17:45:00,Pleno dia
9,2025-01-01,quarta-feira,18:40:00,Anoitecer
10,2025-01-01,quarta-feira,17:00:00,Pleno dia
11,2025-01-01,quarta-feira,20:20:00,Pleno dia
12,2025-01-01,quarta-feira,20:00:00,Plena Noite
13,2025-01-01,quarta-feira,21:00:00,Plena Noite
14,2025-01-02,quinta-feira,05:45:00,Pleno dia
15,2025-01-01,quarta-feira,19:00:00,Plena Noite
16,2025-01-02,quinta-feira,07:20:00,Pleno dia
17,2025-01-02,quinta-feira,07:15:00,Pleno dia
18,2025-01-02,quinta-feira,06:42:00,Pleno dia
19,2025-01-02,quinta-feira,06:30:00,Pleno dia
20,2025-01-02,quinta-feira,08:20:00,Pleno dia
21,2025-01-02,quinta-feira,08:19:00,Pleno dia
22,2025-01-02,quinta-feira,11:57:00,Pleno dia
23,2025-01-02,quinta-feira,13:30:00,Pleno dia
24,2025-01-02,quinta-feira,13:20:00,Pleno dia
25,2025-01-02,quinta-feira,13:01:00,Pleno dia
26,2025-01-02,quinta-feira,14:30:00,Pleno dia
27,2025-01-02,quinta-feira,11:30:00,Pleno dia
28,2025-01-02,quinta-feira,06:50:00,Pleno dia
29,2025-01-02,quinta-feira,14:00:00,Pleno dia
30,2025-01-02,quinta-feira,19:20:00,Anoitecer
31,2025-01-02,quinta-feira,19:40:00,Plena Noite
32,2025-01-02,quinta-feira,18:20:00,Anoitecer
33,2025-01-02,quinta-feira,15:30:00,Pleno dia
34,2025-01-02,quinta-feira,15:00:00,Pleno dia
35,2025-01-02,quinta-feira,20:45:00,Plena Noite
36,2025-01-02,quinta-feira,17:15:00,Pleno dia
37,2025-01-02,quinta-feira,21:30:00,Plena Noite
38,2025-01-03,sexta-feira,00:30:00,Plena Noite
39,2025-01-03,sexta-feira,00:10:00,Plena Noite
40,2025-01-03,sexta-feira,03:30:00,Plena Noite
41,2025-01-03,sexta-feira,04:12:00,Amanhecer
42,2025-01-03,sexta-feira,05:03:00,Amanhecer
43,2025-01-03,sexta-feira,06:10:00,Amanhecer
44,2025-01-03,sexta-feira,07:08:00,Pleno dia
45,2025-01-03,sexta-feira,07:30:00,Pleno dia
46,2025-01-03,sexta-feira,06:30:00,Pleno dia
47,2025-01-03,sexta-feira,10:00:00,Pleno dia
48,2025-01-03,sexta-feira,09:10:00,Pleno dia
49,2025-01-03,sexta-feira,11:05:00,Pleno dia
50,2025-01-03,sexta-feira,11:00:00,Pleno dia
51,2025-01-03,sexta-feira,12:30:00,Pleno dia
52,2025-01-03,sexta-feira,10:40:00,Pleno dia
53,2025-01-03,sexta-feira,11:50:00,Pleno dia
54,2025-01-03,sexta-feira,12:20:00,Pleno dia
55,2025-01-03,sexta-feira,13:12:00,Pleno dia
56,2025-01-03,sexta-feira,10:50:00,Pleno dia
57,2025-01-03,sexta-feira,11:30:00,Pleno dia
58,2025-01-03,sexta-feira,14:30:00,Pleno dia
59,2025-01-03,sexta-feira,12:50:00,Pleno dia
60,2025-01-03,sexta-feira,17:00:00,Pleno dia
61,2025-01-03,sexta-feira,16:40:00,Pleno dia
62,2025-01-03,sexta-feira,17:30:00,Plena Noite
63,2025-01-03,sexta-feira,14:45:00,Pleno dia
64,2025-01-03,sexta-feira,16:24:00,Pleno dia
65,2025-01-03,sexta-feira,17:20:00,Pleno dia
66,2025-01-03,sexta-feira,10:30:00,Pleno dia
67,2025-01-03,sexta-feira,20:00:00,Plena Noite
68,2025-01-03,sexta-feira,19:40:00,Plena Noite
69,2025-01-03,sexta-feira,17:05:00,Anoitecer
70,2025-01-03,sexta-feira,21:30:00,Plena Noite
71,2025-01-03,sexta-feira,17:50:00,Pleno dia
72,2025-01-03,sexta-feira,23:00:00,Plena Noite
73,2025-01-04,sábado,00:15:00,Plena Noite
74,2025-01-04,sábado,02:46:00,Plena Noite
75,2025-01-04,sábado,02:50:00,Plena Noite
76,2025-01-03,sexta-feira,22:45:00,Plena Noite
77,2025-01-04,sábado,02:15:00,Plena Noite
78,2025-01-04,sábado,03:15:00,Plena Noite
79,2025-01-04,sábado,03:40:00,Plena Noite
80,2025-01-04,sábado,05:40:00,Amanhecer
81,2025-01-04,sábado,08:30:00,Pleno dia
82,2025-01-04,sábado,07:45:00,Pleno dia
83,2025-01-04,sábado,11:00:00,Pleno dia
84,2025-01-04,sábado,09:00:00,Pleno dia
85,2025-01-04,sábado,11:20:00,Pleno dia
86,2025-01-04,sábado,07:30:00,Pleno dia
87,2025-01-04,sábado,12:20:00,Pleno dia
88,2025-01-04,sábado,12:39:00,Pleno dia
89,2025-01-04,sábado,14:10:00,Pleno dia
90,2025-01-04,sábado,15:00:00,Pleno dia
91,2025-01-04,sábado,14:50:00,Pleno dia
92,2025-01-04,sábado,16:35:00,Pleno dia
93,2025-01-04,sábado,14:30:00,Pleno dia
94,2025-01-04,sábado,16:45:00,Pleno dia
95,2025-01-04,sábado,18:40:00,Plena Noite
96,2025-01-04,sábado,19:30:00,Plena Noite
97,2025-01-04,sábado,16:50:00,Pleno dia
98,2025-01-04,sábado,18:30:00,Plena Noite
99,2025-01-04,sábado,21:00:00,Plena Noite
100,2025-01-04,sábado,22:00:00,Plena Noite
101,2025-01-05,domingo,00:45:00,Plena Noite
102,2025-01-04,sábado,23:40:00,Plena Noite
103,2025-01-05,domingo,06:40:00,Pleno dia
104,2025-01-05,domingo,04:36:00,Plena Noite
105,2025-01-05,domingo,07:30:00,Pleno dia
106,2025-01-05,domingo,10:00:00,Pleno dia
107,2025-01-05,domingo,11:00:00,Pleno dia
108,2025-01-05,domingo,12:30:00,Pleno dia
109,2025-01-05,domingo,14:26:00,Pleno dia
110,2025-01-05,domingo,14:15:00,Pleno dia
111,2025-01-05,domingo,15:50:00,Pleno dia
112,2025-01-05,domingo,11:40:00,Pleno dia
113,2025-01-05,domingo,18:00:00,Plena Noite
114,2025-01-05,domingo,19:05:00,Plena Noite
115,2025-01-05,domingo,20:03:00,Plena Noite
116,2025-01-05,domingo,16:15:00,Pleno dia
117,2025-01-05,domingo,22:00:00,Plena Noite
118,2025-01-05,domingo,23:50:00,Plena Noite
119,2025-01-06,segunda-feira,00:00:00,Plena Noite
120,2025-01-06,segunda-feira,03:50:00,Plena Noite
121,2025-01-06,segunda-feira,07:20:00,Amanhecer
122,2025-01-06,segunda-feira,07:00:00,Pleno dia
123,2025-01-06,segunda-feira,06:55:00,Pleno dia
124,2025-01-06,segunda-feira,08:40:00,Pleno dia
125,2025-01-06,segunda-feira,09:00:00,Pleno dia
126,2025-01-06,segunda-feira,07:40:00,Pleno dia
127,2025-01-06,segunda-feira,12:05:00,Pleno dia
128,2025-01-06,segunda-feira,10:30:00,Pleno dia
129,2025-01-06,segunda-feira,12:00:00,Pleno dia
130,2025-01-06,segunda-feira,09:15:00,Pleno dia
131,2025-01-06,segunda-feira,11:45:00,Pleno dia
132,2025-01-06,segunda-feira,11:40:00,Pleno dia
133,2025-01-06,segunda-feira,10:50:00,Pleno dia
134,2025-01-06,segunda-feira,13:10:00,Pleno dia
135,2025-01-06,segunda-feira,10:40:00,Pleno dia
136,2025-01-06,segunda-feira,11:30:00,Pleno dia
137,2025-01-06,segunda-feira,14:10:00,Pleno dia
138,2025-01-06,segunda-feira,11:35:00,Pleno dia
139,2025-01-06,segunda-feira,14:00:00,Pleno dia
140,2025-01-06,segunda-feira,15:30:00,Pleno dia
141,2025-01-06,segunda-feira,14:20:00,Pleno dia
142,2025-01-06,segunda-feira,07:55:00,Pleno dia
143,2025-01-06,segunda-feira,16:00:00,Pleno dia
144,2025-01-06,segunda-feira,15:20:00,Pleno dia
145,2025-01-06,segunda-feira,16:30:00,Pleno dia
146,2025-01-06,segunda-feira,13:00:00,Pleno dia
147,2025-01-06,segunda-feira,16:15:00,Pleno dia
148,2025-01-06,segunda-feira,17:20:00,Anoitecer
149,2025-01-06,segunda-feira,15:00:00,Pleno dia
150,2025-01-06,segunda-feira,18:25:00,Plena Noite
151,2025-01-06,segunda-feira,18:00:00,Anoitecer
152,2025-01-06,segunda-feira,12:30:00,Pleno dia
153,2025-01-06,segunda-feira,19:30:00,Plena Noite
154,2025-01-06,segunda-feira,20:05:00,Plena Noite
155,2025-01-06,segunda-feira,20:00:00,Plena Noite
156,2025-01-06,segunda-feira,21:20:00,Plena Noite
157,2025-01-06,segunda-feira,19:20:00,Plena Noite
158,2025-01-06,segunda-feira,18:50:00,Plena Noite
159,2025-01-06,segunda-feira,22:40:00,Plena Noite
160,2025-01-06,segunda-feira,21:00:00,Plena Noite
161,2025-01-06,segunda-feira,19:15:00,Plena Noite
162,2025-01-06,segunda-feira,23:54:00,Plena Noite
163,2025-01-07,terça-feira,02:00:00,Plena Noite
164,2025-01-07,terça-feira,00:10:00,Plena Noite
165,2025-01-07,terça-feira,06:40:00,Pleno dia
166,2025-01-07,terça-feira,05:00:00,Amanhecer
167,2025-01-03,sexta-feira,09:40:00,Pleno dia
168,2025-01-07,terça-feira,09:40:00,Pleno dia
169,2025-01-07,terça-feira,08:50:00,Pleno dia
170,2025-01-06,segunda-feira,23:00:00,Plena Noite
171,2025-01-07,terça-feira,10:00:00,Pleno dia
172,2025-01-07,terça-feira,08:10:00,Pleno dia
173,2025-01-07,terça-feira,08:20:00,Pleno dia
174,2025-01-07,terça-feira,08:40:00,Pleno dia
175,2025-01-07,terça-feira,10:45:00,Pleno dia
176,2025-01-07,terça-feira,12:30:00,Pleno dia
177,2025-01-07,terça-feira,12:55:00,Pleno dia
178,2025-01-07,terça-feira,13:15:00,Pleno dia
179,2025-01-07,terça-feira,10:40:00,Pleno dia
180,2025-01-07,terça-feira,13:20:00,Pleno dia
181,2025-01-07,terça-feira,12:10:00,Pleno dia
182,2025-01-07,terça-feira,12:04:00,Pleno dia
183,2025-01-07,terça-feira,09:30:00,Pleno dia
184,2025-01-07,terça-feira,13:30:00,Pleno dia
185,2025-01-07,terça-feira,14:20:00,Pleno dia
186,2025-01-07,terça-feira,15:00:00,Pleno dia
187,2025-01-04,sábado,01:30:00,Plena Noite
188,2025-01-07,terça-feira,14:30:00,Pleno dia
189,2025-01-07,terça-feira,15:30:00,Pleno dia
190,2025-01-07,terça-feira,15:50:00,Pleno dia
191,2025-01-07,terça-feira,16:15:00,Pleno dia
192,2025-01-07,terça-feira,15:48:00,Pleno dia
193,2025-01-07,terça-feira,13:55:00,Pleno dia
194,2025-01-07,terça-feira,14:00:00,Pleno dia
195,2025-01-07,terça-feira,14:52:00,Pleno dia
196,2025-01-07,terça-feira,17:35:00,Anoitecer
197,2025-01-07,terça-feira,19:40:00,Plena Noite
198,2025-01-07,terça-feira,17:24:00,Anoitecer
199,2025-01-07,terça-feira,17:00:00,Pleno dia
200,2025-01-07,terça-feira,21:15:00,Plena Noite
201,2025-01-07,terça-feira,17:30:00,Anoitecer
202,2025-01-07,terça-feira,22:00:00,Plena Noite
203,2025-01-07,terça-feira,20:00:00,Plena Noite
204,2025-01-07,terça-feira,22:30:00,Plena Noite
205,2025-01-07,terça-feira,23:40:00,Plena Noite
206,2025-01-08,quarta-feira,07:00:00,Pleno dia
207,2025-01-08,quarta-feira,06:40:00,Pleno dia
208,2025-01-08,quarta-feira,07:25:00,Pleno dia
209,2025-01-08,quarta-feira,08:15:00,Pleno dia
210,2025-01-08,quarta-feira,09:15:00,Pleno dia
211,2025-01-08,quarta-feira,06:50:00,Pleno dia
212,2025-01-08,quarta-feira,08:50:00,Pleno dia
213,2025-01-08,quarta-feira,09:25:00,Pleno dia
214,2025-01-08,quarta-feira,09:30:00,Pleno dia
215,2025-01-08,quarta-feira,05:30:00,Amanhecer
216,2025-01-08,quarta-feira,10:00:00,Pleno dia
217,2025-01-08,quarta-feira,11:48:00,Pleno dia
218,2025-01-08,quarta-feira,12:05:00,Pleno dia
219,2025-01-08,quarta-feira,13:10:00,Pleno dia
220,2025-01-08,quarta-feira,10:30:00,Pleno dia
221,2025-01-08,quarta-feira,12:10:00,Pleno dia
222,2025-01-08,quarta-feira,14:00:00,Pleno dia
223,2025-01-08,quarta-feira,12:38:00,Pleno dia
224,2025-01-08,quarta-feira,10:16:00,Pleno dia
225,2025-01-08,quarta-feira,15:15:00,Pleno dia
226,2025-01-08,quarta-feira,14:10:00,Pleno dia
227,2025-01-08,quarta-feira,16:03:00,Pleno dia
228,2025-01-08,quarta-feira,15:30:00,Pleno dia
229,2025-01-08,quarta-feira,16:15:00,Pleno dia
230,2025-01-08,quarta-feira,16:30:00,Pleno dia
231,2025-01-08,quarta-feira,17:00:00,Pleno dia
232,2025-01-08,quarta-feira,17:33:00,Pleno dia
233,2025-01-08,quarta-feira,16:20:00,Pleno dia
234,2025-01-08,quarta-feira,18:00:00,Pleno dia
235,2025-01-08,quarta-feira,15:00:00,Pleno dia
236,2025-01-08,quarta-feira,17:38:00,Pleno dia
237,2025-01-08,quarta-feira,12:40:00,Pleno dia
238,2025-01-08,quarta-feira,17:45:00,Anoitecer
239,2025-01-08,quarta-feira,17:40:00,Pleno dia
240,2025-01-08,quarta-feira,18:05:00,Anoitecer
241,2025-01-08,quarta-feira,12:45:00,Pleno dia
242,2025-01-08,quarta-feira,17:10:00,Pleno dia
243,2025-01-08,quarta-feira,17:30:00,Anoitecer
244,2025-01-08,quarta-feira,20:25:00,Plena Noite
245,2025-01-08,quarta-feira,21:10:00,Plena Noite
246,2025-01-08,quarta-feira,20:00:00,Plena Noite
247,2025-01-08,quarta-feira,21:21:00,Plena Noite
248,2025-01-08,quarta-feira,20:10:00,Plena Noite
249,2025-01-08,quarta-feira,22:30:00,Plena Noite
250,2025-01-08,quarta-feira,20:45:00,Plena Noite
251,2025-01-08,quarta-feira,16:40:00,Pleno dia
252,2025-01-08,quarta-feira,22:07:00,Plena Noite
253,2025-01-08,quarta-feira,22:40:00,Plena Noite
254,2025-01-09,quinta-feira,00:40:00,Plena Noite
255,2025-01-08,quarta-feira,23:00:00,Plena Noite
256,2025-01-09,quinta-feira,00:50:00,Plena Noite
257,2025-01-09,quinta-feira,00:10:00,Plena Noite
258,2025-01-09,quinta-feira,02:50:00,Plena Noite
259,2025-01-09,quinta-feira,04:30:00,Amanhecer
260,2025-01-09,quinta-feira,04:00:00,Plena Noite
261,2025-01-09,quinta-feira,03:50:00,Plena Noite
262,2025-01-09,quinta-feira,05:30:00,Amanhecer
263,2025-01-09,quinta-feira,05:25:00,Amanhecer
264,2025-01-08,quarta-feira,21:50:00,Plena Noite
265,2025-01-09,quinta-feira,06:30:00,Amanhecer
266,2025-01-09,quinta-feira,00:27:00,Plena Noite
267,2025-01-09,quinta-feira,06:40:00,Pleno dia
268,2025-01-09,quinta-feira,07:00:00,Pleno dia
269,2025-01-09,quinta-feira,08:00:00,Pleno dia
270,2025-01-09,quinta-feira,05:00:00,Amanhecer
