id_tipo_acidente,tipo_acidente,causa_acidente,classificacao_acidente
1,Tombamento,Reação tardia ou ineficiente do condutor,Com Vítimas Feridas
2,Colisão frontal,Pista esburacada,
3,Colisão traseira,Reação tardia ou ineficiente do condutor,Com Vítimas Feridas
4,Saída de leito carroçável,Reação tardia ou ineficiente do condutor,Com Vítimas Feridas
5,Colisão frontal,Velocidade Incompatível,Com Vítimas Feridas
6,Colisão frontal,Transitar na contramão,Com Vítimas Fatais
7,Saída de leito carroçável,Ausência de reação do condutor,Com Vítimas Feridas
8,Colisão traseira,Ausência de reação do condutor,Com Vítimas Feridas
9,Tombamento,Velocidade Incompatível,Com Vítimas Fatais
10,Incêndio,Demais falhas mecânicas ou elétricas,Sem Vítimas
11,Colisão com objeto,Ingestão de álcool pelo condutor,Sem Vítimas
12,Colisão traseira,Ausência de reação do condutor,Sem Vítimas
13,Colisão frontal,Ingestão de álcool pelo condutor,Com Vítimas Feridas
14,Tombamento,Velocidade Incompatível,Com Vítimas Feridas
15,Saída de leito carroçável,Condutor Dormindo,Com Vítimas Feridas
16,Tombamento,Ausência de reação do condutor,Com Vítimas Feridas
17,Colisão com objeto,Velocidade Incompatível,Com Vítimas Fatais
18,Colisão lateral mesmo sentido,Manobra de mudança de faixa,Sem Vítimas
19,Colisão com objeto,Chuva,Com Vítimas Feridas
20,Colisão traseira,Acessar a via sem observar a presença dos outros veículos,Com Vítimas Feridas
21,Colisão lateral mesmo sentido,Manobra de mudança de faixa,Com Vítimas Feridas
22,Colisão com objeto,Reação tardia ou ineficiente do condutor,Com Vítimas Feridas
23,Colisão traseira,Reação tardia ou ineficiente do condutor,Sem Vítimas
24,Colisão lateral sentido oposto,Transitar na contramão,Com Vítimas Feridas
25,Colisão lateral sentido oposto,Manobra de mudança de faixa,Com Vítimas Feridas
26,Colisão traseira,Condutor deixou de manter distância do veículo da frente,Com Vítimas Feridas
27,Colisão frontal,Ausência de reação do condutor,Com Vítimas Feridas
28,Colisão lateral mesmo sentido,Ultrapassagem Indevida,Com Vítimas Feridas
29,Colisão com objeto,Ausência de reação do condutor,Sem Vítimas
